primary_booth,投稿数,いいね総数,いいね平均,いいね中央値,リプライ総数,リプライ平均,再投稿総数,再投稿平均,リーチ総数,リーチ平均,リーチ中央値,キャンペーン割合,体験型割合,ステージ割合,フォトスポット割合,グッズ割合,エンゲージメント率,投稿数スコア,エンゲージメント率スコア,総合スコア
メカブレ千葉決戦,793,2041.0,113.39,2.0,7.0,1.75,153.0,25.5,24823849,31303.72,55641.0,0.8537200504413619,0.0,0.0012610340479192938,0.0037831021437578815,0.0,2.7755359394703656,1.0,0.0018231118984971474,0.8003646223796995
カプコンtgs2025,594,1468.0,12.77,1.0,64.0,1.88,123.0,6.15,438836,738.78,205.0,0.015151515151515152,0.25252525252525254,0.030303030303030304,0.08922558922558922,0.025252525252525252,2.7861952861952863,0.7458492975734355,0.0018301134946818892,0.5970454607576848
litgs2025,458,57295.0,353.67,2.0,483.0,5.25,5181.0,75.09,9994350,21821.72,359.5,0.010917030567685589,0.034934497816593885,0.06550218340611354,0.11790393013100436,0.0851528384279476,137.4650655021834,0.5721583652618135,0.0902939835801741,0.47578548892548567
ナナオリ,384,23345.0,248.35,1.0,195.0,5.42,1353.0,56.38,3776356,9834.26,299.5,0.0546875,0.0390625,0.028645833333333332,0.057291666666666664,0.005208333333333333,64.82552083333333,0.4776500638569604,0.042580669440035024,0.39063618497357533
デナアビ,354,2752.0,65.52,2.0,100.0,2.17,321.0,21.4,2339980,6610.11,221.0,0.002824858757062147,0.002824858757062147,0.025423728813559324,0.03389830508474576,0.005649717514124294,8.963276836158192,0.4393358876117497,0.005887531995943856,0.35264621648858857
ktgs2025,335,79.0,6.58,3.5,10.0,1.25,8.0,2.67,271149,809.4,340.0,0.014925373134328358,0.05970149253731343,0.0029850746268656717,0.023880597014925373,0.023880597014925373,0.28955223880597014,0.41507024265644954,0.00019019250455261052,0.33209423262607013
えなこ,24,35377.0,1965.39,413.0,41.0,5.86,1120.0,70.0,21568,898.67,446.0,0.0,0.041666666666666664,0.16666666666666666,0.5,0.0,1522.4166666666667,0.017879948914431672,1.0,0.21430395913154535
アークナイツエンドフィールド,186,12815.0,156.28,7.0,71.0,4.44,1586.0,29.37,933256,5017.51,172.0,0.005376344086021506,0.03763440860215054,0.053763440860215055,0.22043010752688172,0.010752688172043012,77.80645161290323,0.2247765006385696,0.0511071990450949,0.1900426403198747
ホワサバ,181,13887.0,133.53,1.0,167.0,8.79,646.0,29.36,1254119,6928.83,265.0,0.03314917127071823,0.016574585635359115,0.08839779005524862,0.13259668508287292,0.016574585635359115,81.21546961325967,0.21839080459770116,0.05334641389014812,0.18538192645619056
カレイドガチャ,165,3320.0,33.88,1.0,5.0,1.0,174.0,9.16,337626,2046.22,173.0,0.0,0.006060606060606061,0.01818181818181818,0.15151515151515152,0.3333333333333333,21.206060606060607,0.1979565772669221,0.013929209440731692,0.16115110370168403
mechabreak,146,21471.0,230.87,7.0,140.0,3.41,1692.0,36.78,3337606,22860.32,333.0,0.0,0.00684931506849315,0.0410958904109589,0.1780821917808219,0.0,159.6095890410959,0.17369093231162197,0.10483962277591277,0.15992067040448016
運命のトリガー,128,11631.0,161.54,2.0,113.0,7.53,827.0,37.59,2687154,20993.39,316.5,0.0078125,0.046875,0.046875,0.140625,0.015625,98.2109375,0.15070242656449553,0.06450989380918495,0.13346392001343343
tarkovtgs2025,117,2457.0,25.59,3.0,97.0,1.7,289.0,9.03,157484,1346.02,255.0,0.008547008547008548,0.05128205128205128,0.017094017094017096,0.15384615384615385,0.02564102564102564,24.299145299145298,0.13665389527458494,0.015960903365796898,0.11251529689282733
nteリライフ,99,10206.0,189.0,9.0,70.0,3.89,1057.0,39.15,1210475,12227.02,381.0,0.0,0.06060606060606061,0.030303030303030304,0.1717171717171717,0.0,114.47474747474747,0.1136653895274585,0.07519278393436804,0.1059708684088404
桃源暗鬼,85,12006.0,187.59,9.5,26.0,1.44,955.0,38.2,739656,8701.84,112.0,0.0,0.07058823529411765,0.058823529411764705,0.3176470588235294,0.03529411764705882,152.78823529411764,0.09578544061302682,0.10035901382283713,0.09670015525498889
nikketgs2025,92,6877.0,98.24,18.0,45.0,1.32,598.0,13.59,1464585,15919.4,405.5,0.010869565217391304,0.03260869565217391,0.10869565217391304,0.32608695652173914,0.25,81.73913043478261,0.10472541507024266,0.05369038071144514,0.09451840819848316
konami,89,3464.0,78.73,2.0,59.0,2.81,334.0,23.86,93172,1046.88,520.0,0.0,0.02247191011235955,0.033707865168539325,0.1797752808988764,0.0,43.337078651685395,0.10089399744572158,0.028465977547770797,0.08640839346613144
rtxon,91,2.0,2.0,2.0,0.0,,0.0,,63548,698.33,371.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.02197802197802198,0.10344827586206896,1.4436272578480692e-05,0.08276150794417086
segaatlustgs2025,88,407.0,8.66,2.0,20.0,1.11,45.0,3.0,87241,991.38,291.0,0.011363636363636364,0.045454545454545456,0.07954545454545454,0.11363636363636363,0.03409090909090909,5.363636363636363,0.09961685823754789,0.0035231067033574008,0.0803981079307098
starsavior,84,2643.0,94.39,3.0,68.0,11.33,223.0,18.58,516757,6151.87,206.0,0.011904761904761904,0.011904761904761904,0.0,0.13095238095238096,0.0,34.92857142857143,0.09450830140485313,0.022942846195350437,0.08019521036295259
ブラウンダスト2,76,4918.0,149.03,3.0,54.0,3.6,408.0,29.14,794353,10452.01,188.0,0.0,0.0,0.02631578947368421,0.11842105263157894,0.013157894736842105,70.78947368421052,0.0842911877394636,0.046498094269556416,0.07673256904548217
キノデン,76,3979.0,173.0,1.0,98.0,12.25,276.0,55.2,1885684,24811.63,472.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,57.276315789473685,0.0842911877394636,0.037621971069773066,0.0749573444055255
モンギル,77,421.0,12.03,2.0,29.0,1.93,34.0,8.5,331267,4302.17,711.0,0.03896103896103896,0.05194805194805195,0.012987012987012988,0.12987012987012986,0.03896103896103896,6.285714285714286,0.08556832694763729,0.004128773957445478,0.06928041634959893
三國志真戦,64,4126.0,147.36,13.0,48.0,4.8,420.0,35.0,1212909,18951.7,499.5,0.015625,0.0,0.046875,0.296875,0.0,71.78125,0.06896551724137931,0.04714954294159505,0.06460232238142245
恋と深空tgs,70,607.0,15.18,5.0,24.0,1.33,33.0,2.36,34114,487.34,65.5,0.0,0.05714285714285714,0.11428571428571428,0.3,0.21428571428571427,9.485714285714286,0.07662835249042145,0.006230695244872266,0.06254882104131161
サイレントヒルf,47,7058.0,252.07,5.5,20.0,2.86,923.0,65.93,259400,5519.15,283.0,0.0,0.10638297872340426,0.0425531914893617,0.19148936170212766,0.02127659574468085,170.2340425531915,0.04725415070242656,0.11181829933977218,0.06016698042989569
カオスゼロナイトメア,60,2735.0,80.44,12.0,30.0,2.5,204.0,9.27,765247,12754.12,562.5,0.05,0.05,0.11666666666666667,0.21666666666666667,0.0,49.483333333333334,0.06385696040868455,0.032503147408177786,0.0575861978085832
silenthill,15,5386.0,673.25,7.0,27.0,5.4,539.0,269.5,20748,1383.2,208.0,0.0,0.06666666666666667,0.0,0.0,0.0,396.8,0.006385696040868455,0.26063823964092175,0.05723620476087912
龍が如くtgs2025,52,4566.0,111.37,13.0,18.0,1.64,462.0,22.0,66555,1279.9,390.5,0.019230769230769232,0.21153846153846154,0.057692307692307696,0.21153846153846154,0.0,97.03846153846153,0.05363984674329502,0.06373975250213686,0.05565982789506339
メタ転,56,3307.0,75.16,1.0,45.0,9.0,260.0,16.25,103713,1852.02,163.0,0.0,0.0,0.03571428571428571,0.25,0.017857142857142856,64.5,0.05874840357598978,0.0423668509496962,0.055472093050731065
龍が如く,58,2261.0,57.97,2.0,43.0,1.59,192.0,16.0,112318,1936.52,480.0,0.0,0.06896551724137931,0.06896551724137931,0.15517241379310345,0.034482758620689655,43.03448275862069,0.06130268199233716,0.028267217313670604,0.054695589056603856
まのさば,49,4644.0,580.5,6.0,45.0,9.0,650.0,162.5,440023,8980.06,173.0,0.0,0.0,0.0,0.02040816326530612,0.0,108.95918367346938,0.04980842911877394,0.07156988363247209,0.05416072002151358
トリッカル,61,660.0,41.25,5.5,12.0,4.0,98.0,14.0,412273,6758.57,1993.0,0.22950819672131148,0.06557377049180328,0.0,0.16393442622950818,0.01639344262295082,12.62295081967213,0.06513409961685823,0.008291390324378213,0.05376555775836223
ガンホー,58,1029.0,36.75,2.0,68.0,3.78,94.0,10.44,59396,1024.07,383.0,0.0,0.0,0.017241379310344827,0.1206896551724138,0.0,20.53448275862069,0.06130268199233716,0.013488083261450998,0.051739762246159934
nikkecosplay,11,3639.0,519.86,21.0,17.0,8.5,302.0,60.4,76684,6971.27,267.0,0.0,0.0,0.0,0.45454545454545453,0.0,359.8181818181818,0.001277139208173691,0.23634671748963718,0.048291054864466394
デルタフォースtgs,50,2198.0,75.79,8.0,37.0,3.36,176.0,11.73,549914,10998.28,337.0,0.0,0.04,0.1,0.32,0.04,48.22,0.05108556832694764,0.03167332639991242,0.0472031199415406
mho,28,5602.0,560.2,13.5,4.0,1.33,181.0,22.62,10213,364.75,165.0,0.0,0.0,0.0,0.25,0.0,206.67857142857142,0.022988505747126436,0.13575690279396008,0.045542185156493165
デュエットナイトアビス,51,1069.0,41.12,3.0,41.0,1.95,77.0,8.56,770017,15098.37,746.0,0.0196078431372549,0.0,0.0196078431372549,0.11764705882352941,0.0,23.274509803921568,0.05236270753512133,0.015287871128526948,0.04494774025380246
第五人格tgs2025,48,1426.0,36.56,4.0,22.0,2.0,188.0,9.89,221994,4624.88,82.0,0.0,0.0,0.08333333333333333,0.1875,0.0,34.083333333333336,0.04853128991060025,0.02238765121243637,0.04330256217096748
aigranprix,49,197.0,98.5,98.5,164.0,164.0,175.0,175.0,76111,1553.29,3.0,0.0,0.0,0.0,0.0,0.0,10.938775510204081,0.04980842911877394,0.007185139094775246,0.04128377111397421
ff14,25,4219.0,324.54,3.0,22.0,2.75,560.0,140.0,35860,1434.4,232.0,0.0,0.04,0.04,0.04,0.0,192.04,0.019157088122605363,0.12614155126170012,0.040553980750424316
スクエニtgs,46,806.0,57.57,9.5,15.0,1.25,74.0,10.57,198840,4322.61,507.5,0.021739130434782608,0.10869565217391304,0.0,0.13043478260869565,0.17391304347826086,19.456521739130434,0.04597701149425287,0.012780024132112607,0.03933761402182482
omen_hyperx_tgs2025,48,86.0,9.56,1.0,15.0,1.67,12.0,12.0,147092,3064.42,243.5,0.020833333333333332,0.020833333333333332,0.0,0.16666666666666666,0.0,2.3541666666666665,0.04853128991060025,0.0015463353221303847,0.03913429899290628
アズールプロミリア,44,1337.0,58.13,9.0,18.0,1.5,90.0,6.0,241808,5495.64,680.0,0.0,0.13636363636363635,0.045454545454545456,0.20454545454545456,0.06818181818181818,32.84090909090909,0.04342273307790549,0.0215715643489468,0.03905249933211376
p5xjp,37,2686.0,107.44,10.0,15.0,2.14,251.0,17.93,278611,7530.03,470.0,0.0,0.0,0.0,0.35135135135135137,0.0,79.78378378378379,0.034482758620689655,0.0524060104770598,0.03806740899196368
nikke,45,607.0,24.28,2.0,24.0,1.2,54.0,6.75,70801,1573.36,461.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,15.222222222222221,0.04469987228607918,0.009998722790884375,0.03775964238704022
第五人格,21,3723.0,338.45,4.0,7.0,2.33,313.0,78.25,1264578,60218.0,722.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,192.52380952380952,0.0140485312899106,0.12645934174206108,0.0365306933803407
ウィズダフネ,39,1443.0,72.15,6.0,25.0,2.5,198.0,22.0,238546,6116.56,328.0,0.0,0.10256410256410256,0.1282051282051282,0.3076923076923077,0.02564102564102564,42.717948717948715,0.037037037037037035,0.028059301801706966,0.03524148998997102
ガレリアベースtgs2025,44,25.0,5.0,3.0,1.0,1.0,3.0,1.5,17063,387.8,215.5,0.0,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.0,0.6590909090909091,0.04342273307790549,0.0004329241288023925,0.03482477128808488
スターレゾナンス,34,2352.0,168.0,10.5,19.0,3.17,189.0,21.0,111786,3287.82,344.0,0.0,0.08823529411764706,0.029411764705882353,0.3235294117647059,0.11764705882352941,75.29411764705883,0.03065134099616858,0.049456971468865615,0.03441246709070799
tgsmoe,28,3214.0,292.18,256.0,2.0,1.0,136.0,15.11,30472,1088.29,253.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.0,119.71428571428571,0.022988505747126436,0.07863437673498432,0.03411767994469801
codevein2,41,386.0,19.3,8.0,9.0,1.12,45.0,4.5,32971,804.17,131.0,0.024390243902439025,0.024390243902439025,0.0,0.14634146341463414,0.0,10.731707317073171,0.03959131545338442,0.007049126268809352,0.03308287761646941
無限大ananta,34,1931.0,87.77,2.0,12.0,12.0,150.0,50.0,36337,1068.74,127.0,0.058823529411764705,0.11764705882352941,0.0,0.14705882352941177,0.029411764705882353,61.55882352941177,0.03065134099616858,0.04043493800169364,0.0326080603972736
モンハンアウトランダーズ,21,3183.0,176.83,23.0,3.0,1.0,135.0,10.38,30529,1453.76,518.0,0.0,0.19047619047619047,0.047619047619047616,0.42857142857142855,0.0,158.14285714285714,0.0140485312899106,0.1038761993384578,0.03201406489962004
thefirstdescendant,25,2569.0,151.12,10.0,12.0,2.0,258.0,25.8,227115,9084.6,287.0,0.0,0.04,0.08,0.16,0.0,113.56,0.019157088122605363,0.07459193168755815,0.03024405683559592
コスプレ,37,149.0,8.28,5.0,4.0,1.0,44.0,4.4,37474,1012.81,151.0,0.0,0.02702702702702703,0.0,0.5405405405405406,0.0,5.324324324324325,0.034482758620689655,0.0034972845745192345,0.028285663811455572
nikketgs,16,2347.0,586.75,89.5,24.0,2.4,232.0,77.33,74750,4671.88,134.5,0.0,0.0625,0.0,0.3125,0.0625,162.6875,0.007662835249042145,0.10686134982757677,0.027502538164749072
nextgear,29,1544.0,171.56,1.0,40.0,8.0,72.0,36.0,40043,1380.79,537.0,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,57.10344827586207,0.024265644955300127,0.03750842297390907,0.02691420055902192
レースクイーン,34,446.0,29.73,2.0,35.0,5.0,37.0,18.5,46308,1362.0,395.0,0.0,0.029411764705882353,0.0,0.08823529411764706,0.0,15.235294117647058,0.03065134099616858,0.010007309070653276,0.02652253461106552
おしゃべりん堂,32,904.0,32.29,31.0,1.0,1.0,2.0,1.0,20832,651.0,399.5,0.0,0.0625,0.0625,0.0625,0.03125,28.34375,0.0280970625798212,0.018617603590782197,0.0262011707820134
恋と深空,32,647.0,29.41,2.0,21.0,1.62,63.0,10.5,41869,1308.41,131.0,0.03125,0.03125,0.09375,0.1875,0.1875,22.84375,0.0280970625798212,0.015004926378017406,0.025478635339460445
